,clean,corrupted,correct_idx,incorrect_idx
139,"Then, Patrick and Lindsay went to the station. Patrick gave a basketball to","Then, Vanessa and Megan went to the station. Kristen gave a basketball to",62784,70519
386,"When Jose and Daniel got a snack at the garden, Daniel decided to give it to","When Jason and Daniel got a snack at the garden, Bryan decided to give it to",10860,15118
95,"Then, Matthew and Adam had a lot of fun at the hospital. Adam gave a ring to","Then, Melissa and Megan had a lot of fun at the hospital. Jennifer gave a ring to",18939,54529
374,"Then, Bryan and Amanda had a long argument, and afterwards Amanda said to","Then, Samuel and Brittany had a long argument, and afterwards Jose said to",36353,88154
105,"Then, Joseph and Jonathan had a lot of fun at the school. Joseph gave a snack to","Then, Amber and Kimberly had a lot of fun at the school. Tyler gave a snack to",23269,46664
786,"After Nicole and Kyle went to the hospital, Nicole gave a bone to","After Sean and Charles went to the hospital, Heather gave a bone to",30259,24995
42,"Then, Ryan and Christina had a long argument, and afterwards Ryan said to","Then, Nathan and Patrick had a long argument, and afterwards Kelly said to",59671,36737
984,"Then, Joseph and Emily went to the restaurant. Emily gave a bone to","Then, James and Stephen went to the restaurant. Lindsey gave a bone to",15115,18095
628,"Then, Angela and Joshua had a long argument, and afterwards Angela said to","Then, Ryan and Katie had a long argument, and afterwards Joshua said to",39492,13646
857,"After Jessica and Angela went to the school, Angela gave a basketball to","After Megan and Steven went to the school, Andrew gave a basketball to",32367,23644
367,"Then, Kyle and William went to the office. Kyle gave a drink to","Then, Daniel and Andrea went to the office. Ashley gave a drink to",12375,15118
686,"Then, Amanda and Dustin had a lot of fun at the office. Dustin gave a ring to","Then, Scott and Scott had a lot of fun at the office. Amanda gave a ring to",41759,9815
338,"Then, Jose and Brian were thinking about going to the restaurant. Jose wanted to give a necklace to","Then, James and Gregory were thinking about going to the restaurant. Lindsay wanted to give a necklace to",17083,7801
177,"Then, Bradley and Danielle had a long argument, and afterwards Danielle said to","Then, Katherine and Aaron had a long argument, and afterwards Stephanie said to",36448,25673
539,"Then, Samantha and Kimberly had a long argument, and afterwards Kimberly said to","Then, Nicholas and Jesse had a long argument, and afterwards Katie said to",62808,39171
521,"When Anthony and Kenneth got a drink at the hospital, Anthony decided to give it to","When Kyle and Jason got a drink at the hospital, Jeffrey decided to give it to",48398,30259
133,"Then, Jacob and Alicia had a lot of fun at the school. Alicia gave a necklace to","Then, Jessica and Travis had a lot of fun at the school. Adam gave a necklace to",24521,40710
488,"Then, Sean and Jennifer had a long argument, and afterwards Sean said to","Then, Nicole and Nicholas had a long argument, and afterwards Lauren said to",29650,44030
457,"Then, Andrea and Nicholas were working at the office. Nicholas decided to give a snack to","Then, Joseph and Cody were working at the office. Christina decided to give a snack to",40084,57282
128,"When Andrea and Erica got a ring at the store, Andrea decided to give it to","When Katie and Richard got a ring at the store, Adam decided to give it to",91835,44463
176,"When Amanda and Andrew got a bone at the store, Amanda decided to give it to","When Laura and Amber got a bone at the store, Brandon decided to give it to",13615,29828
2,"Then, Crystal and Matthew had a lot of fun at the station. Crystal gave a drink to","Then, Stephanie and Megan had a lot of fun at the station. Christine gave a drink to",18939,48143
885,"Then, Amanda and Jeremy were working at the store. Jeremy decided to give a necklace to","Then, Bryan and Jeremy were working at the store. Amanda decided to give a necklace to",41759,27118
592,"Then, Lindsay and Adam had a long argument, and afterwards Adam said to","Then, Sara and Ryan had a long argument, and afterwards Aaron said to",62784,13646
286,"Then, Laura and Justin were thinking about going to the house. Laura wanted to give a bone to","Then, Danielle and Joseph were thinking about going to the house. Benjamin wanted to give a bone to",22467,71616
842,"Then, Daniel and Dustin were thinking about going to the house. Daniel wanted to give a computer to","Then, Adam and Tiffany were thinking about going to the house. Eric wanted to give a computer to",78318,15037
880,"When Jeffrey and Matthew got a necklace at the hospital, Matthew decided to give it to","When Laura and Jonathan got a necklace at the hospital, Kevin decided to give it to",41007,23269
78,"Then, Melissa and Erica went to the school. Melissa gave a drink to","Then, Allison and Cody went to the school. Michelle gave a drink to",91835,62408
119,"When Nathan and Tiffany got a drink at the office, Tiffany decided to give it to","When Sarah and Erica got a drink at the office, Patrick decided to give it to",36737,91835
132,"Then, Heather and Thomas went to the restaurant. Heather gave a ring to","Then, Jesse and Jason went to the restaurant. Michelle gave a ring to",11108,39171
988,"Then, Thomas and Vanessa had a long argument, and afterwards Vanessa said to","Then, Emily and Nathan had a long argument, and afterwards Allison said to",11108,36737
18,"When Justin and Lindsey got a basketball at the store, Lindsey decided to give it to","When Amber and Jennifer got a basketball at the store, Danielle decided to give it to",22467,29650
253,"Then, Amy and Richard had a long argument, and afterwards Richard said to","Then, Crystal and Adam had a long argument, and afterwards Michael said to",28693,15037
145,"Then, Erin and Richard were thinking about going to the house. Richard wanted to give a bone to","Then, Lindsay and Lindsay were thinking about going to the house. Erin wanted to give a bone to",55814,62784
77,"Then, Bradley and Erica were working at the station. Bradley decided to give a computer to","Then, Melissa and Jason were working at the station. Kimberly decided to give a computer to",91835,47048
179,"When Kyle and Amy got a necklace at the school, Kyle decided to give it to","When Katherine and Alexander got a necklace at the school, Alicia decided to give it to",28693,61326
255,"Then, Adam and Benjamin went to the hospital. Adam gave a snack to","Then, Amy and Mark went to the hospital. Charles gave a snack to",29311,28693
422,"Then, Jonathan and Mark had a long argument, and afterwards Mark said to","Then, Ryan and Allison had a long argument, and afterwards Jonathan said to",23269,62408
446,"Then, Jeremy and Kevin had a lot of fun at the station. Jeremy gave a basketball to","Then, Ashley and Christina had a lot of fun at the station. Stephen gave a basketball to",16364,37118
321,"Then, Danielle and Richard had a lot of fun at the station. Danielle gave a basketball to","Then, Jonathan and David had a lot of fun at the station. Adam gave a basketball to",11867,23269
264,"Then, Nicole and Ryan went to the house. Ryan gave a basketball to","Then, Kenneth and Jessica went to the house. Sara gave a basketball to",44030,32367
373,"Then, Angela and Kelly had a lot of fun at the house. Angela gave a bone to","Then, Lindsay and Katie had a lot of fun at the house. Nicole gave a bone to",18661,62784
277,"After Jeremy and Sarah went to the garden, Jeremy gave a computer to","After Katherine and Christine went to the garden, Brittany gave a computer to",20445,61326
676,"Then, Bryan and Dustin were working at the store. Bryan decided to give a computer to","Then, Shannon and Mark were working at the store. Katie decided to give a computer to",78318,53663
599,"Then, Tiffany and Laura had a lot of fun at the office. Tiffany gave a ring to","Then, Christina and Paul had a lot of fun at the office. Cody gave a ring to",29828,59671
944,"Then, William and Jamie were working at the restaurant. William decided to give a drink to","Then, Samantha and Aaron were working at the restaurant. Emily decided to give a drink to",35757,62808
46,"Then, Matthew and Tyler had a long argument, and afterwards Matthew said to","Then, Megan and Michelle had a long argument, and afterwards Andrew said to",31220,54529
684,"Then, Jeffrey and Christina had a lot of fun at the house. Christina gave a drink to","Then, Andrew and Andrea had a lot of fun at the house. Erica gave a drink to",41007,40084
49,"Then, Anthony and Ryan had a lot of fun at the house. Anthony gave a snack to","Then, Daniel and Jonathan had a lot of fun at the house. Andrea gave a snack to",13646,15118
537,"Then, Stephanie and Shannon had a lot of fun at the garden. Shannon gave a basketball to","Then, James and Allison had a lot of fun at the garden. Jeremy gave a basketball to",48143,62408
161,"After Nathan and Sara went to the office, Sara gave a computer to","After Aaron and Sean went to the office, Lindsey gave a computer to",36737,24995
320,"Then, David and Ryan were thinking about going to the office. David wanted to give a computer to","Then, Andrea and Jonathan were thinking about going to the office. Kristen wanted to give a computer to",13646,40084
959,"Then, Emily and Jonathan were thinking about going to the restaurant. Emily wanted to give a basketball to","Then, Daniel and Amanda were thinking about going to the restaurant. William wanted to give a basketball to",23269,15118
938,"When Rachel and Samuel got a kiss at the station, Samuel decided to give it to","When Joshua and Stephen got a kiss at the station, Courtney decided to give it to",31432,18095
701,"Then, Jacob and Angela had a long argument, and afterwards Jacob said to","Then, David and Melissa had a long argument, and afterwards Thomas said to",37143,6798
582,"Then, Heather and Mary had a long argument, and afterwards Mary said to","Then, Samuel and David had a long argument, and afterwards Heather said to",46263,6798
690,"Then, Erica and Kelly had a long argument, and afterwards Kelly said to","Then, Melissa and Katherine had a long argument, and afterwards Nicole said to",91835,61326
276,"When Lauren and Timothy got a kiss at the restaurant, Lauren decided to give it to","When Amanda and Andrea got a kiss at the restaurant, Steven decided to give it to",44468,41759
368,"Then, Kelly and Melissa were thinking about going to the garden. Melissa wanted to give a ring to","Then, Amy and Lindsey were thinking about going to the garden. Brian wanted to give a ring to",18661,64279
346,"Then, Rebecca and James had a long argument, and afterwards James said to","Then, Adam and Lindsey had a long argument, and afterwards Lindsay said to",44457,64279
742,"Then, Michael and Brandon had a long argument, and afterwards Michael said to","Then, Nicole and Amy had a long argument, and afterwards Patrick said to",31766,44030
337,"Then, Brandon and Jose went to the garden. Brandon gave a ring to","Then, Dustin and Richard went to the garden. Vanessa gave a ring to",10860,78318
781,"Then, Angela and Brandon had a long argument, and afterwards Brandon said to","Then, Bryan and Jonathan had a long argument, and afterwards Adam said to",37143,23269
830,"Then, Danielle and Tyler had a long argument, and afterwards Danielle said to","Then, Katherine and Ashley had a long argument, and afterwards Melissa said to",31220,61326
330,"When Justin and Shannon got a computer at the station, Justin decided to give it to","When Ryan and Allison got a computer at the station, Kristen decided to give it to",53663,13646
67,"When Brian and Tyler got a drink at the store, Brian decided to give it to","When Lisa and Erica got a drink at the store, Christina decided to give it to",31220,28556
911,"Then, Tyler and Nathan had a lot of fun at the office. Tyler gave a kiss to","Then, Heather and Allison had a lot of fun at the office. Elizabeth gave a kiss to",36737,46263
865,"Then, Erica and Christina had a lot of fun at the station. Erica gave a ring to","Then, Danielle and Scott had a lot of fun at the station. Lindsey gave a ring to",59671,71616
735,"Then, Robert and Rachel had a long argument, and afterwards Robert said to","Then, Allison and Bradley had a long argument, and afterwards Sean said to",31432,62408
674,"After Michelle and Amber went to the office, Amber gave a ring to","After Bradley and Brittany went to the office, Richard gave a ring to",32026,88154
245,"Then, Kyle and Jesse were working at the garden. Jesse decided to give a drink to","Then, Adam and Jennifer were working at the garden. Eric decided to give a drink to",30259,29650
169,"Then, Mary and Scott went to the office. Mary gave a bone to","Then, Stephen and Elizabeth went to the office. Justin gave a bone to",9815,18095
932,"Then, Kristen and Kelly had a lot of fun at the house. Kelly gave a bone to","Then, Heather and Jason had a lot of fun at the house. Gregory gave a bone to",76114,18477
491,"Then, Alexander and James had a lot of fun at the store. Alexander gave a ring to","Then, Anthony and Stephanie had a lot of fun at the store. Adam gave a ring to",7801,20696
843,"Then, Joshua and Amy had a lot of fun at the station. Joshua gave a basketball to","Then, Shannon and Joshua had a lot of fun at the station. Jeremy gave a basketball to",28693,53663
136,"Then, Heather and Christine were working at the restaurant. Christine decided to give a bone to","Then, Emily and Andrea were working at the restaurant. Cody decided to give a bone to",46263,40084
778,"Then, Nicole and Shannon had a lot of fun at the house. Shannon gave a basketball to","Then, Nathan and Patrick had a lot of fun at the house. Kimberly gave a basketball to",44030,19626
22,"When Nicole and Melissa got a necklace at the house, Melissa decided to give it to","When Ashley and Kristen got a necklace at the house, Heather decided to give it to",44030,76114
862,"Then, Jose and Erica went to the station. Erica gave a drink to","Then, Alexander and Charles went to the station. Dustin gave a drink to",10860,14927
56,"Then, Christina and Paul were thinking about going to the hospital. Christina wanted to give a kiss to","Then, Kenneth and Shannon were thinking about going to the hospital. John wanted to give a kiss to",6898,48398
929,"Then, Brittany and Megan went to the store. Brittany gave a basketball to","Then, Eric and Paul went to the store. Daniel gave a basketball to",54529,16247
404,"Then, Justin and Nicole had a long argument, and afterwards Nicole said to","Then, Paul and Erin had a long argument, and afterwards Bryan said to",22467,55814
476,"Then, Brandon and Amber had a long argument, and afterwards Brandon said to","Then, Jesse and Danielle had a long argument, and afterwards Sarah said to",46664,39171
335,"When Lisa and Dustin got a basketball at the station, Dustin decided to give it to","When Erin and Allison got a basketball at the station, Jonathan decided to give it to",28556,62408
824,"After Jonathan and Rachel went to the restaurant, Jonathan gave a necklace to","After Aaron and Danielle went to the restaurant, Andrew gave a necklace to",31432,25673
813,"Then, Mark and Erin went to the office. Erin gave a computer to","Then, Bradley and Nicholas went to the office. Scott gave a computer to",4389,39696
819,"Then, Amy and Elizabeth had a lot of fun at the store. Elizabeth gave a necklace to","Then, Joshua and Alexander had a lot of fun at the store. Robert gave a necklace to",28693,20042
664,"Then, Bryan and Michelle were working at the restaurant. Michelle decided to give a computer to","Then, John and Joseph were working at the restaurant. Steven decided to give a computer to",36353,15115
0,"After Brandon and Scott went to the school, Brandon gave a computer to","After Alicia and Jose went to the school, Brian gave a computer to",9815,78902
43,"Then, Jeffrey and Sean were working at the house. Jeffrey decided to give a kiss to","Then, Kyle and Nicholas were working at the house. Jonathan decided to give a kiss to",24995,30259
384,"After Melissa and Brian went to the house, Melissa gave a kiss to","After Jose and Alicia went to the house, Matthew gave a kiss to",17083,10860
445,"Then, Steven and Emily were thinking about going to the school. Steven wanted to give a snack to","Then, Amy and Jacob were thinking about going to the school. Anthony wanted to give a snack to",34166,28693
783,"After Justin and Alexander went to the house, Justin gave a necklace to","After Alicia and Eric went to the house, Sean gave a necklace to",20042,78902
243,"Then, Lindsey and Jose were thinking about going to the office. Jose wanted to give a computer to","Then, Nicole and Eric were thinking about going to the office. Paul wanted to give a computer to",64279,16247
403,"Then, Jacob and Katie were thinking about going to the restaurant. Jacob wanted to give a basketball to","Then, Brandon and Brittany were thinking about going to the restaurant. William wanted to give a basketball to",44463,31766
665,"Then, Dustin and Christina were working at the station. Christina decided to give a necklace to","Then, Joseph and Vanessa were working at the station. Jonathan decided to give a necklace to",78318,70519
707,"Then, Katie and Adam were thinking about going to the office. Katie wanted to give a bone to","Then, David and Mary were thinking about going to the office. Kyle wanted to give a bone to",15037,6798
154,"Then, Robert and Alicia had a lot of fun at the hospital. Alicia gave a basketball to","Then, Sarah and Laura had a lot of fun at the hospital. Brandon gave a basketball to",8397,29828
930,"After Lisa and Anthony went to the garden, Lisa gave a necklace to","After Nicholas and Patrick went to the garden, Scott gave a necklace to",20696,39696
838,"Then, Nathan and Tiffany were thinking about going to the office. Nathan wanted to give a snack to","Then, Dustin and Benjamin were thinking about going to the office. Justin wanted to give a snack to",67473,78318
754,"When Kelly and Richard got a drink at the house, Richard decided to give it to","When Jonathan and Ashley got a drink at the house, Samuel decided to give it to",18661,37118
844,"Then, Ryan and Samantha had a long argument, and afterwards Samantha said to","Then, Christine and Sean had a long argument, and afterwards Gregory said to",13646,24995
184,"Then, Travis and Gregory were thinking about going to the hospital. Travis wanted to give a ring to","Then, Crystal and John were thinking about going to the hospital. Matthew wanted to give a ring to",42969,27916
324,"Then, Erica and Richard were thinking about going to the station. Richard wanted to give a bone to","Then, Katie and Charles were thinking about going to the station. Brittany wanted to give a bone to",91835,14927
289,"Then, Gregory and Mark were thinking about going to the station. Gregory wanted to give a basketball to","Then, Kristen and Paul were thinking about going to the station. Justin wanted to give a basketball to",4389,76114
216,"Then, Michelle and Melissa had a long argument, and afterwards Melissa said to","Then, Alicia and Megan had a long argument, and afterwards Amy said to",32026,54529
837,"Then, Andrea and Allison had a lot of fun at the office. Allison gave a ring to","Then, Crystal and Brian had a lot of fun at the office. Jose gave a ring to",40084,17083
37,"Then, Aaron and Paul were working at the office. Aaron decided to give a bone to","Then, Rebecca and Daniel were working at the office. Dustin decided to give a bone to",6898,44457
68,"Then, Amy and Bradley had a lot of fun at the house. Bradley gave a bone to","Then, Paul and Aaron had a lot of fun at the house. Brittany gave a bone to",28693,25673
680,"Then, Jose and Nicholas had a long argument, and afterwards Nicholas said to","Then, David and Alexander had a long argument, and afterwards Lisa said to",10860,20042
217,"Then, Melissa and Jason were working at the school. Melissa decided to give a necklace to","Then, Samantha and Kelly were working at the school. Nicole decided to give a necklace to",18477,62808
252,"After Paul and Mary went to the restaurant, Mary gave a ring to","After Amber and Amber went to the restaurant, Paul gave a ring to",6898,46664
296,"Then, Nathan and Anthony had a lot of fun at the station. Anthony gave a ring to","Then, Brandon and Tiffany had a lot of fun at the station. Brittany gave a ring to",36737,67473
150,"After Amanda and Emily went to the office, Emily gave a necklace to","After Katherine and Steven went to the office, Amy gave a necklace to",41759,23644
869,"After Andrea and Allison went to the office, Andrea gave a basketball to","After Bryan and Brandon went to the office, Stephen gave a basketball to",62408,36353
508,"Then, Sarah and Tyler were thinking about going to the house. Tyler wanted to give a snack to","Then, Eric and Matthew were thinking about going to the house. Brandon wanted to give a snack to",20445,18939
357,"Then, Christine and Jeffrey were working at the restaurant. Jeffrey decided to give a kiss to","Then, Erica and Aaron were working at the restaurant. Brittany decided to give a kiss to",45893,25673
7,"After Megan and Steven went to the school, Megan gave a ring to","After Angela and Gregory went to the school, Allison gave a ring to",23644,37143
972,"Then, Sarah and Kevin were thinking about going to the garden. Kevin wanted to give a necklace to","Then, Jennifer and Matthew were thinking about going to the garden. Crystal wanted to give a necklace to",20445,18939
570,"Then, Andrew and Kimberly had a lot of fun at the store. Kimberly gave a kiss to","Then, Amber and Samantha had a lot of fun at the store. Heather gave a kiss to",13615,62808
624,"Then, Thomas and Stephen were working at the office. Stephen decided to give a snack to","Then, Kristen and Lindsay were working at the office. Joshua decided to give a snack to",11108,62784
500,"Then, John and Jason had a lot of fun at the office. John gave a ring to","Then, Daniel and Melissa had a lot of fun at the office. Jacob gave a ring to",18477,15118
352,"Then, Andrea and Rebecca were working at the garden. Rebecca decided to give a ring to","Then, Sara and Danielle were working at the garden. Kelly decided to give a ring to",40084,71616
187,"When Daniel and John got a snack at the restaurant, John decided to give it to","When Thomas and Kelly got a snack at the restaurant, Gregory decided to give it to",15118,18661
291,"Then, Angela and Alexander were thinking about going to the house. Angela wanted to give a basketball to","Then, Christopher and Ryan were thinking about going to the house. Richard wanted to give a basketball to",20042,24986
758,"Then, Jessica and Charles went to the house. Jessica gave a snack to","Then, Michael and Jose went to the house. Daniel gave a snack to",14927,7937
47,"Then, Laura and Justin went to the school. Justin gave a necklace to","Then, Angela and Christina went to the school. Jonathan gave a necklace to",29828,59671
375,"After Katherine and Samuel went to the office, Katherine gave a snack to","After Laura and Mary went to the office, Alexander gave a snack to",31907,29828
208,"Then, Angela and Kevin had a lot of fun at the office. Angela gave a kiss to","Then, Christopher and Christopher had a lot of fun at the office. Kevin gave a kiss to",16364,24986
679,"Then, Thomas and Michael had a long argument, and afterwards Michael said to","Then, Kyle and Angela had a long argument, and afterwards Jesse said to",11108,37143
306,"When Allison and Justin got a basketball at the station, Allison decided to give it to","When Robert and Elizabeth got a basketball at the station, Kristen decided to give it to",22467,8397
526,"Then, Jeffrey and Lauren had a long argument, and afterwards Lauren said to","Then, Nicholas and Amy had a long argument, and afterwards Kristen said to",41007,28693
331,"Then, Andrea and Michael were thinking about going to the school. Michael wanted to give a kiss to","Then, Justin and Jacob were thinking about going to the school. Stephanie wanted to give a kiss to",40084,24521
239,"Then, Michael and Vanessa were thinking about going to the garden. Michael wanted to give a computer to","Then, Erin and Christine were thinking about going to the garden. Mary wanted to give a computer to",70519,55814
936,"After William and Kristen went to the school, William gave a bone to","After James and Laura went to the school, Katie gave a bone to",76114,7801
740,"After Danielle and Jeremy went to the station, Jeremy gave a necklace to","After Benjamin and Timothy went to the station, Paul gave a necklace to",71616,44468
237,"Then, Eric and Allison were thinking about going to the station. Eric wanted to give a necklace to","Then, Jesse and Matthew were thinking about going to the station. Jeffrey wanted to give a necklace to",62408,39171
419,"Then, Tyler and Nathan were thinking about going to the garden. Tyler wanted to give a computer to","Then, Amy and David were thinking about going to the garden. Amanda wanted to give a computer to",36737,28693
764,"Then, Amber and Katherine had a lot of fun at the garden. Amber gave a ring to","Then, Lauren and Paul had a lot of fun at the garden. John gave a ring to",61326,42360
766,"When Andrew and Brandon got a bone at the office, Andrew decided to give it to","When Timothy and Jeremy got a bone at the office, Thomas decided to give it to",31766,44468
719,"After Jesse and Katherine went to the restaurant, Jesse gave a kiss to","After Amanda and Bryan went to the restaurant, Stephen gave a kiss to",61326,41759
799,"Then, Patrick and Charles were working at the garden. Patrick decided to give a snack to","Then, Ashley and Christina were working at the garden. James decided to give a snack to",14927,37118
572,"Then, Emily and Christina had a long argument, and afterwards Emily said to","Then, Rebecca and Aaron had a long argument, and afterwards Thomas said to",59671,44457
849,"Then, Sean and Stephen had a long argument, and afterwards Stephen said to","Then, Eric and Samuel had a long argument, and afterwards Brian said to",24995,31907
704,"When Katie and Benjamin got a bone at the office, Benjamin decided to give it to","When Jennifer and Scott got a bone at the office, Vanessa decided to give it to",44463,9815
113,"Then, Kristen and Elizabeth went to the hospital. Kristen gave a drink to","Then, Mark and Kristen went to the hospital. Dustin gave a drink to",20731,4389
203,"Then, Matthew and Andrew had a long argument, and afterwards Andrew said to","Then, Christine and Brandon had a long argument, and afterwards Joseph said to",18939,31766
293,"After Michael and Crystal went to the school, Michael gave a kiss to","After Cody and Joshua went to the school, Erin gave a kiss to",27916,57282
774,"Then, Jacob and Nathan were working at the station. Jacob decided to give a bone to","Then, Danielle and Paul were working at the station. Dustin decided to give a bone to",36737,71616
815,"Then, Jeremy and Elizabeth had a long argument, and afterwards Elizabeth said to","Then, Ryan and William had a long argument, and afterwards Bryan said to",27118,12375
155,"Then, Brittany and Lindsey had a lot of fun at the restaurant. Lindsey gave a snack to","Then, Tyler and Sean had a lot of fun at the restaurant. Lindsey gave a snack to",88154,24995
402,"Then, Lisa and Travis were thinking about going to the house. Lisa wanted to give a ring to","Then, Patrick and Joseph were thinking about going to the house. Kevin wanted to give a ring to",40710,19626
971,"Then, Timothy and William had a long argument, and afterwards Timothy said to","Then, Stephen and Aaron had a long argument, and afterwards Samuel said to",12375,18095
395,"After Richard and Stephen went to the house, Stephen gave a computer to","After Stephanie and Brian went to the house, Jesse gave a computer to",11867,17083
910,"Then, Matthew and Alexander went to the station. Alexander gave a basketball to","Then, David and Benjamin went to the station. Jessica gave a basketball to",18939,29311
709,"When Joshua and Timothy got a necklace at the house, Joshua decided to give it to","When Allison and Charles got a necklace at the house, Jennifer decided to give it to",44468,62408
814,"When Allison and Andrea got a bone at the restaurant, Allison decided to give it to","When Ashley and Kevin got a bone at the restaurant, Justin decided to give it to",40084,37118
194,"Then, Amanda and Shannon had a lot of fun at the store. Amanda gave a snack to","Then, Timothy and Lindsey had a lot of fun at the store. Brandon gave a snack to",53663,44468
389,"After Alicia and Cody went to the office, Alicia gave a basketball to","After Jessica and Amanda went to the office, Travis gave a basketball to",57282,32367
278,"Then, Lisa and Jessica went to the house. Lisa gave a ring to","Then, Brittany and Jason went to the house. Bradley gave a ring to",32367,88154
443,"After Emily and Jeremy went to the house, Emily gave a basketball to","After Benjamin and Christine went to the house, Dustin gave a basketball to",27118,29311
479,"After Jennifer and Lisa went to the store, Lisa gave a ring to","After Lisa and John went to the store, Alexander gave a ring to",29650,3757
235,"Then, Daniel and Jesse had a lot of fun at the store. Jesse gave a drink to","Then, Jessica and William had a lot of fun at the store. Ryan gave a drink to",15118,12375
412,"Then, Jamie and Patrick went to the hospital. Patrick gave a snack to","Then, William and Matthew went to the hospital. Andrew gave a snack to",35757,18939
590,"Then, Stephanie and Jonathan had a long argument, and afterwards Stephanie said to","Then, Stephanie and William had a long argument, and afterwards Kelly said to",23269,48143
5,"When Samuel and Steven got a kiss at the store, Steven decided to give it to","When Justin and Heather got a kiss at the store, Eric decided to give it to",31907,46263
351,"Then, Justin and Richard had a lot of fun at the hospital. Richard gave a drink to","Then, Samantha and Allison had a lot of fun at the hospital. Daniel gave a drink to",22467,62408
530,"When Cody and William got a snack at the station, Cody decided to give it to","When Thomas and Jacob got a snack at the station, Stephanie decided to give it to",12375,11108
834,"Then, Rachel and Mark were thinking about going to the garden. Mark wanted to give a basketball to","Then, John and Jacob were thinking about going to the garden. Tiffany wanted to give a basketball to",31432,24521
334,"Then, Jeremy and Joseph went to the hospital. Jeremy gave a ring to","Then, David and Jeffrey went to the hospital. Robert gave a ring to",15115,6798
759,"Then, Jeremy and Kimberly were thinking about going to the hospital. Kimberly wanted to give a ring to","Then, Jennifer and Michelle were thinking about going to the hospital. Jason wanted to give a ring to",27118,32026
378,"When Rebecca and Dustin got a basketball at the garden, Rebecca decided to give it to","When Steven and Tiffany got a basketball at the garden, Lindsey decided to give it to",78318,23644
975,"After David and Allison went to the garden, Allison gave a drink to","After Jennifer and Jeremy went to the garden, Thomas gave a drink to",6798,27118
447,"Then, Emily and Samuel had a lot of fun at the restaurant. Emily gave a ring to","Then, Heather and Mark had a lot of fun at the restaurant. Robert gave a ring to",31907,46263
694,"When Anthony and Sara got a kiss at the school, Sara decided to give it to","When Sean and James got a kiss at the school, Scott decided to give it to",20696,7801
873,"After Joshua and Michelle went to the store, Michelle gave a necklace to","After Brian and Amber went to the store, Tyler gave a necklace to",39492,46664
515,"Then, Andrew and Charles went to the restaurant. Andrew gave a basketball to","Then, Emily and Justin went to the restaurant. Crystal gave a basketball to",14927,34166
647,"Then, William and Ashley had a lot of fun at the office. Ashley gave a drink to","Then, Nicole and Alicia had a lot of fun at the office. Sara gave a drink to",12375,78902
903,"When Brian and Ryan got a necklace at the garden, Brian decided to give it to","When Stephanie and Andrea got a necklace at the garden, Lauren decided to give it to",13646,48143
425,"Then, Michelle and William went to the garden. Michelle gave a computer to","Then, Travis and Eric went to the garden. Jacob gave a computer to",12375,40710
661,"Then, Steven and Kristen went to the store. Kristen gave a ring to","Then, Stephanie and Ashley went to the store. Michael gave a ring to",23644,37118
10,"After Katherine and Elizabeth went to the station, Elizabeth gave a kiss to","After Angela and Stephanie went to the station, Jason gave a kiss to",61326,48143
761,"Then, Tyler and Jonathan went to the garden. Tyler gave a basketball to","Then, Travis and Crystal went to the garden. Alicia gave a basketball to",23269,40710
517,"After Patrick and Amber went to the store, Patrick gave a ring to","After Sean and Danielle went to the store, Tyler gave a ring to",46664,24995
613,"Then, Andrea and Lindsey were thinking about going to the garden. Andrea wanted to give a snack to","Then, Amanda and Jennifer were thinking about going to the garden. Aaron wanted to give a snack to",64279,41759
522,"After Stephanie and Emily went to the garden, Emily gave a kiss to","After Sean and Lindsey went to the garden, Brandon gave a kiss to",48143,64279
528,"After Michelle and Sean went to the school, Sean gave a basketball to","After Courtney and Jesse went to the school, Shannon gave a basketball to",32026,39171
156,"Then, Jacob and Travis had a long argument, and afterwards Jacob said to","Then, Adam and Paul had a long argument, and afterwards Robert said to",40710,15037
142,"Then, Ryan and Brandon went to the restaurant. Ryan gave a ring to","Then, Amanda and Katie went to the restaurant. Jason gave a ring to",31766,41759
642,"Then, Alicia and Christopher had a lot of fun at the station. Alicia gave a computer to","Then, Alexander and Adam had a lot of fun at the station. Aaron gave a computer to",24986,20042
103,"Then, Tiffany and Courtney were working at the school. Tiffany decided to give a bone to","Then, Matthew and Kristen were working at the school. Amy decided to give a bone to",70682,18939
45,"Then, Courtney and Lindsay were thinking about going to the store. Lindsay wanted to give a basketball to","Then, Kyle and Paul were thinking about going to the store. Kevin wanted to give a basketball to",70682,6898
220,"Then, Robert and Emily were thinking about going to the office. Emily wanted to give a kiss to","Then, Jose and Nicholas were thinking about going to the office. Jesse wanted to give a kiss to",8397,39696
689,"Then, Lauren and James were working at the store. Lauren decided to give a drink to","Then, Eric and Emily were working at the store. Brandon decided to give a drink to",7801,16247
257,"After Sean and Kelly went to the hospital, Kelly gave a bone to","After Daniel and Thomas went to the hospital, Nathan gave a bone to",24995,11108
359,"Then, Eric and Gregory had a lot of fun at the garden. Gregory gave a basketball to","Then, Jesse and Jeremy had a lot of fun at the garden. Elizabeth gave a basketball to",16247,27118
328,"Then, Cody and Katherine were working at the house. Cody decided to give a basketball to","Then, Lindsay and Rachel were working at the house. William decided to give a basketball to",61326,62784
922,"After Brian and Patrick went to the hospital, Brian gave a necklace to","After Kenneth and Rebecca went to the hospital, Steven gave a necklace to",19626,48398
